name,category,source,lat,lon,wikidata_qid
Cidade do Samba RJ,samba_school,overture,-22.89571762084961,-43.19755554199219,
Cordão da Bola Preta,samba_school,overture,-22.910236358642578,-43.18332290649414,
D.R.I EAV Parque Lage,university,overture,-22.960180282592773,-43.212284088134766,
Palácio Maçônico do Lavradio,historic_site,overture,-22.910512924194336,-43.18281173706055,
Teatro Justiça,cultural_center,overture,-22.910429000854492,-43.17558288574219,
Lago do Campo de Santana,public_square,wikidata,-22.9075885,-43.188024,Q67205544
"Vasco da Gama, Rio de Janeiro",public_square,overture,-22.891944885253906,-43.22694778442383,
Palácio de são cristóvão,museum,overture,-22.905834197998047,-43.22444534301758,
Fazenda Imperial de Santa Cruz,historic_site,overture,-22.910003662109375,-43.685306549072266,
Museu de Sitio Arqueologico da Antiga Se,church,overture,-22.903898239135742,-43.17581558227539,
"Christ Redeemer, Rio de Janeiro, Brazil",monument,overture,-22.95165252685547,-43.210838317871094,
National Museum of Brazil,museum,overture,-22.905765533447266,-43.22652816772461,
Fort Copacabana,museum,overture,-22.986177444458008,-43.1865348815918,
Museu do paço,cultural_center,overture,-22.902894973754883,-43.173309326171875,
Sugarloaf Mountain,natural_landmark,overture,-22.949750900268555,-43.15623474121094,
Centro Cultural Benjamin Peret,cultural_center,overture,-22.91719627380371,-43.17892074584961,
Centro Cultural Itaporã,cultural_center,overture,-22.920541763305664,-43.21086120605469,
Centro Cultural Oduvaldo Viana Filho,cultural_center,overture,-22.930269241333008,-43.17458724975586,
Centro Cultural Prof Dila,cultural_center,overture,-22.896940231323242,-43.354469299316406,
Centro Cultural Sindicato dos Rodoviários do Município do Rio de Janeiro,cultural_center,overture,-22.89963722229004,-43.18770217895508,
Espaço Cultural Arlindo Cruz,cultural_center,overture,-22.874351501464844,-43.42841339111328,
Espaço Cultural Escola Sesc,cultural_center,overture,-22.96029281616211,-43.359230041503906,
Fórum de Ciência e Cultura da UFRJ,cultural_center,overture,-22.942842483520508,-43.174720764160156,
GRES União da Ilha do Governador,samba_school,overture,-22.813766479492188,-43.188899993896484,
Lona Cultural Terra Caetano Veloso,cultural_center,overture,-22.839969635009766,-43.37852478027344,
MAAS Museu Arquidiocesano de Arte Sacra do Rio de Janeiro,museum,overture,-22.910724639892578,-43.18042755126953,
Museu de Bangu,museum,overture,-22.878812789916992,-43.46345901489258,
Pequena África,historic_site,overture,-22.89813232421875,-43.18748474121094,
Praça Inhangá Copacabana,natural_landmark,overture,-22.966018676757812,-43.18147277832031,
Quinta da Boa Vista - Museu Nacional,museum,overture,-22.926443099975586,-43.2158317565918,
Rua do Catete,historic_site,wikidata,-22.92592,-43.176251,Q10365024
Teatro do Liceu,theater,overture,-22.907245635986328,-43.193138122558594,
edifício-sede da Associação Brasileira de Imprensa,historic_site,wikidata,-22.90915,-43.17484,Q18275922
Escadaria Selarón,monument,wikidata,-22.915406,-43.179414,Q2200939
